intake_id,submitted_at,submitted_by,breeding_url,parse_status,parsed_horse_name,parsed_nztr_life_number,parsed_microchip,parsed_performance_profile_url,parse_notes
INT-001,2026-03-03,seed_loader,https://loveracing.nz/Breeding/428364/First-Gear-NZ-2021.aspx,parsed,First Gear,NZ00428364,985125000126713,https://loveracing.nz/Common/SystemTemplates/Modal/EntryDetail.aspx?DisplayContext=Modal&HorseID=428364,"Seeded from URL intake prototype and validated against local First Gear docs."
INT-002,2026-03-03,seed_loader,https://loveracing.nz/Breeding/427416/Prudentia-NZ-2021.aspx,parsed,Prudentia,NZ00427416,985125000126462,https://loveracing.nz/Common/SystemTemplates/Modal/EntryDetail.aspx?DisplayContext=Modal&HorseID=427416,"Seeded from URL intake prototype and validated against local Prudentia docs."
