horse_id,horse_name,country_code,foaling_date,sex,colour,sire,dam,nztr_life_number,microchip_number,trainer_id,owner_id,governing_body_code,breeding_url,performance_profile_url,horse_status,identity_status,source_primary,source_last_verified_at,source_notes
HRS-001,First Gear,NZ,2021-10-02,Gelding,Bay,Derryn (AUS),A'Guin Ace (NZ),NZ00428364,985125000126713,TRN-002,OWN-002,NZTR,https://loveracing.nz/Breeding/428364/First-Gear-NZ-2021.aspx,https://loveracing.nz/Common/SystemTemplates/Modal/EntryDetail.aspx?DisplayContext=Modal&HorseID=428364,active,verified,loveracing_breeding,2026-03-03,"Fields verified from Loveracing breeding page and matching First Gear PDS."
HRS-002,Prudentia,NZ,2021-11-13,Mare,Bay,Proisir (AUS),Little Bit Irish (NZ),NZ00427416,985125000126462,TRN-001,OWN-001,NZTR,https://loveracing.nz/Breeding/427416/Prudentia-NZ-2021.aspx,https://loveracing.nz/Common/SystemTemplates/Modal/EntryDetail.aspx?DisplayContext=Modal&HorseID=427416,active,verified,loveracing_breeding,2026-03-03,"Fields verified from Loveracing breeding page and user-provided microchip context."
